Date,Open,High,Low,Close
2021-01-28,25.29,26.93,24.87,26.47
2021-01-29,26.58,27.65,26.05,26.91
2021-02-01,28.3,30.03,27.97,29.04
2021-02-02,28.82,28.9,26.29,26.7
2021-02-03,26.65,27.19,26.49,26.89
2021-02-04,26.935,26.935,25.91,26.37
2021-02-05,26.38,27.05,26.2,26.86
2021-02-08,27.08,27.57,26.85,27.27
2021-02-09,27.28,27.81,27.07,27.27
2021-02-10,27.28,27.5315,26.8245,27.023
2021-02-11,27.037,27.28,26.7085,26.98
2021-02-12,26.97,27.43,26.86,27.26
2021-02-15,27.41,27.71,27.37,27.595
2021-02-16,27.623,27.95,26.84,27.24
2021-02-17,27.23,27.4215,26.87,27.3915
2021-02-18,27.391,27.5255,26.88,27.03
2021-02-19,27.06,27.61,26.25,27.19
2021-02-22,27.37,28.28,27.28,28.14
2021-02-23,28.18,28.33,27.25,27.68
2021-02-24,27.67,28.03,27.33,27.99
2021-02-25,27.97,28.21,27.29,27.45
2021-02-26,27.46,27.6,26.1415,26.55
2021-03-01,26.65,27.08,26.44,26.58
2021-03-02,26.57,26.9,25.87,26.76
2021-03-03,26.77,26.82,25.85,26.09
2021-03-04,26.1,26.3,25.07,25.36
2021-03-05,25.35,25.46,24.83,25.18
2021-03-08,25.36,25.92,24.96,25.13
2021-03-09,25.116,26.13,25.05,25.93
2021-03-10,25.938,26.223,25.56,26.21
2021-03-11,26.23,26.46,25.85,26.13
2021-03-12,26.14,26.17,25.4,25.9
2021-03-15,26.05,26.415,25.81,26.2485
2021-03-16,26.23,26.31,25.84,25.9605
2021-03-17,25.94,26.52,25.77,26.3835
2021-03-18,26.36,26.64,25.8345,26.0595
2021-03-19,26.03,26.32,25.89,26.24
2021-03-22,25.84,25.96,25.41,25.7895
2021-03-23,25.78,25.83,25.0168,25.0595
2021-03-24,25.07,25.36,24.98,25.1095
2021-03-25,25.05,25.18,24.42,25.0915
2021-03-26,25.13,25.25,24.87,25.07
2021-03-29,25.069,25.107,24.4525,24.6475
2021-03-30,24.674,24.74,23.8521,24.02
2021-03-31,24.0415,24.53,23.78,24.416
2021-04-01,24.434,24.978,24.25,24.959
2021-04-05,24.976,25.08,24.61,24.88
2021-04-06,24.884,25.29,24.77,25.164
2021-04-07,25.16,25.28,24.86,25.15
2021-04-08,25.158,25.62,24.97,25.45
2021-04-09,25.47,25.5,24.99,25.25
2021-04-12,25.246,25.28,24.71,24.816
2021-04-13,24.813,25.48,24.68,25.343
2021-04-14,25.348,25.53,25.2,25.422
2021-04-15,25.423,25.99,25.33,25.849
2021-04-16,25.855,26.3,25.75,25.96
2021-04-19,25.964,26.23,25.64,25.825
2021-04-20,25.82,26.09,25.7,25.845
2021-04-21,25.806,26.64,25.7629,26.555
2021-04-22,26.57,26.59,25.98,26.155
2021-04-23,26.151,26.4,25.85,26
2021-04-26,25.991,26.222,25.86,26.22
2021-04-27,26.218,26.46,26.05,26.263
2021-04-28,26.314,26.328,25.83,26.205
2021-04-29,26.23,26.475,25.72,26.1
2021-04-30,26.11,26.19,25.8,25.87
2021-05-03,25.93,26.9955,25.81,26.9105
2021-05-04,26.91,27.12,26.11,26.515
2021-05-05,26.51,26.63,26.1,26.495
2021-05-06,26.51,27.46,26.18,27.308
2021-05-07,27.32,27.68,27.14,27.45
2021-05-10,27.54,27.87,27.24,27.305
2021-05-11,27.36,27.667,27.1,27.62
2021-05-12,27.65,27.69,26.96,27.021
2021-05-13,27.02,27.24,26.74,27.0935
2021-05-14,27.1035,27.48,26.83,27.41
2021-05-17,27.4,28.29,27.35,28.178
2021-05-18,28.19,28.75,28.01,28.195
2021-05-19,28.19,28.23,27.37,27.735
